Section,Keywords,Category,Description,Action Taken,Similar Case (Judgment),section_desc
IPC Section 412 – Receiving Property Stolen in Dacoity,Violent Crime Connection,Law Enforcement,Connecting possession to a violent crime.,Police Interrogation,"Bank Dacoity Recovery Case, 2022",Allows broader investigation.
IPC Section 412 – Receiving Property Stolen in Dacoity,Community Crime Impact,Public Safety,Property crime affecting whole neighborhoods.,Community Alert,"Public Prosecution of Receiver, 2018",Law focuses on social disruption aspect.
IPC Section 413 – Habitually Dealing in Stolen Property,Habitual Offender,Repeat Crime,Engaging repeatedly in receiving stolen goods.,Criminal Record Check,"Chronic Fence Case, 2020",Focuses on repeat offenders.
IPC Section 413 – Habitually Dealing in Stolen Property,Stolen Property Network,Organized Crime,Part of criminal rings trading in stolen goods.,Cyber & Local Unit Coordination,"Electronics Fencing Case, 2019",Covers crime syndicates.
IPC Section 413 – Habitually Dealing in Stolen Property,Repeat Receipts,Patterned Offense,Multiple instances of theft-related dealings.,Data Analysis from Police Records,"Serial Property Fence, 2018",Used for pattern recognition and tracking.
IPC Section 413 – Habitually Dealing in Stolen Property,Black Market Activity,Illegal Trade,Dealing in goods illegally sourced and sold.,"Surveillance, Undercover Operation","Market Raid in Delhi, 2017",Linked to gray economy.
IPC Section 413 – Habitually Dealing in Stolen Property,Crime Pattern Recognition,Criminal Profiling,Identifying behavior of repeat offenders.,Crime Branch Input,"Habitual Chain Snatching Ring, 2022",Psychological profiling also applied.
IPC Section 414 – Assisting in Concealing Stolen Property,Concealment Assistance,Complicity,Helping others hide or store stolen goods.,"Legal Custody, Court Summons","Accomplice Conviction Case, 2020",Punishes indirect involvement in theft crimes.
IPC Section 414 – Assisting in Concealing Stolen Property,Storage of Loot,Evidence Tampering,Providing place or means to store stolen property.,"Property Sealed, Investigation Launched","Locker Case in Mumbai, 2019","Includes landlords, warehouse owners."
IPC Section 414 – Assisting in Concealing Stolen Property,Knowledge-Based Concealment,Criminal Complicity,Knowing the goods are stolen and still assisting.,Confession/Statement as Evidence,"Assisting Auto Thieves, 2018",Intent plays a big role.
IPC Section 414 – Assisting in Concealing Stolen Property,Aiding a Thief,Criminal Collaboration,Helping a known offender store goods.,Charges Framed Under IPC 414,"Crime Family Case, 2021",Law applies even without direct theft participation.
IPC Section 414 – Assisting in Concealing Stolen Property,Shielding Property Crime,Moral & Legal Offense,Helping criminals escape justice via property concealment.,Witness Statements Used,"Property Broker Convicted, 2017",Law encourages cooperation with investigations.
IPC Section 415 – Cheating,Fraudulent Representation,Deceptive Offense,Misleading another to gain dishonest advantage.,"FIR, Legal Notice","Job Scam Case, 2018","Broadly covers cheating for money, goods, or services."
IPC Section 415 – Cheating,Deception,Civil & Criminal,Intentionally misguiding others for benefit.,"Police Complaint, Civil Suit","Fake Loan Promise, 2019",Can be tried under both civil and criminal courts.
IPC Section 415 – Cheating,Misrepresentation,Fraud,Giving false info to gain trust and cause loss.,"Evidence Collection, Court Proceedings","False Identity Usage, 2020","Common in job, contract, and real estate frauds."
IPC Section 415 – Cheating,Financial Scam,Economic Offense,Cheating for financial gain.,Banking Authority Informed,"Online Investment Scam, 2021",Frequently involves digital payment methods.
IPC Section 415 – Cheating,Intention to Deceive,Legal Requirement,Must prove that the accused intended to cheat from the beginning.,"Legal Argument, Witnesses","Land Grabbing Through Deceit, 2022",Mens rea (guilty mind) is essential in proving cheating under IPC.
IPC Section 416 – Cheating by Personation,Impersonation,Identity Crime,Pretending to be someone else to deceive.,"FIR, Arrest","Fake Officer Scam, 2019",Covers cheating where someone pretends to be another individual to gain advantage.
IPC Section 416 – Cheating by Personation,False Identity,Deceptive Offense,Using a false name or credentials for fraud.,"Identity Verification, Legal Notice","Admission Fraud Case, 2021","Involves false impersonation in various contexts like exams, job applications, etc."
IPC Section 416 – Cheating by Personation,Forged Credentials,Document Fraud,Using fake documents to impersonate.,"Document Seizure, Prosecution","Passport Scam, 2020",Often paired with forgery under IPC 468/471.
IPC Section 416 – Cheating by Personation,Pretending Authority,Power Misuse,"Posing as police, govt. official, etc. to trick someone.","Legal Complaint, Investigation","Fake IAS Officer Case, 2022",Intent is key to prove this offense.
IPC Section 416 – Cheating by Personation,Social Media Impersonation,Cyber Crime,Using others' names online to defraud or mislead.,Cyber Crime Cell Involvement,"Facebook Fraud Profile Case, 2018",Increasingly common in online spaces.
IPC Section 417 – Punishment for Cheating,Cheating,General Offense,Deceiving someone to cause harm or loss.,"FIR, Charge Sheet","Job Fraud Scam, 2020",Penalizes general acts of cheating without special circumstances.
IPC Section 417 – Punishment for Cheating,Loss by Deception,Economic Crime,Victim suffers loss due to lies or fraud.,"Evidence Submission, Court Hearing","Loan Fraud Complaint, 2019",Intention to cheat must be proven.
IPC Section 417 – Punishment for Cheating,False Promises,Contract Breach,Making commitments with no intent to fulfill.,"Legal Action, Contract Analysis","Startup Investment Fraud, 2021",Common in real estate and job markets.
IPC Section 417 – Punishment for Cheating,Consumer Fraud,Commercial Offense,Selling fake/defective products intentionally.,Consumer Forum Complaint,"Online Product Scam, 2017",May also attract consumer law violations.
IPC Section 417 – Punishment for Cheating,Dishonest Misrepresentation,Civil and Criminal Tort,Misguiding with an aim to gain money/property.,Dual Proceedings (Civil + Criminal),"Marriage Fraud Case, 2020",Cheating cases may overlap with other sections.
IPC Section 418 – Cheating with Knowledge of Legal Disability,Legal Incapacity,Vulnerable Victim Crime,Cheating someone unable to protect their rights due to legal incapacity.,Court-appointed Guardian Investigation,"Elderly Property Fraud, 2021","Targets those who exploit legal disabilities (like unsound mind, minors)."
IPC Section 418 – Cheating with Knowledge of Legal Disability,Fraud Against Disabled,Special Protection Law,Cheating people under protection of legal guardianship.,Family Court Involvement,"Mental Disability Fraud Case, 2019",Provisions focus on protection of the vulnerable.
IPC Section 418 – Cheating with Knowledge of Legal Disability,Misuse of Trust,Breach of Trust,Exploiting close relationships for fraud.,"FIR, Counseling","Relative Misappropriation Case, 2022",Often overlaps with IPC 406 (criminal breach of trust).
IPC Section 418 – Cheating with Knowledge of Legal Disability,Guardian Exploitation,Family/Trust Law,When a guardian commits fraud against the ward.,"Custodial Review, Investigation","Minor’s Asset Scam, 2020",May involve child rights violations.
IPC Section 418 – Cheating with Knowledge of Legal Disability,Emotional Manipulation,Coercive Fraud,Using emotions to deceive legally incapacitated individuals.,"Psychiatric Report, Legal Review","Fraud on Widow by Relative, 2018",Proof of intent and vulnerability both required.
IPC Section 419 – Cheating by Impersonation,Fake Identity,White Collar Crime,Falsely claiming identity for deceit.,"Arrest, Confiscation of Property","Identity Fraud for Bank Loan, 2017",Specific subset of IPC 416 with targeted scope.
IPC Section 419 – Cheating by Impersonation,Government Job Scam,Recruitment Fraud,Claiming false job positions to extract money.,Job Portal Scrutiny,"Fake Railway Recruitment Case, 2021","Widespread issue in India, often under IPC 419/420 combo."
IPC Section 419 – Cheating by Impersonation,ID Fraud,Cybersecurity,Using stolen IDs to commit fraud.,Cyber Cell Action,"SIM Swap Fraud Case, 2019",Technology-enabled impersonation tactics.
IPC Section 419 – Cheating by Impersonation,False Admission,Academic Fraud,Entering colleges using fake identity/marks.,Academic Review,"Medical Seat Scam, 2020",Leads to disqualification and criminal case.
IPC Section 419 – Cheating by Impersonation,Matrimonial Deceit,Family Offense,Cheating partner by impersonating or hiding identity.,Divorce/Annulment Filing,"Fake Caste Certificate Marriage Case, 2018",IPC 419 often invoked in false marriage claims.
IPC Section 420 – Cheating and Dishonestly Inducing Delivery of Property,Property Fraud,High-Value Crime,Fraudulently convincing someone to part with money/property.,"Asset Seizure, Arrest","Chit Fund Scam, 2020",Most popular IPC section used in financial frauds.
IPC Section 420 – Cheating and Dishonestly Inducing Delivery of Property,Real Estate Scam,Civil & Criminal Dispute,Selling fake or disputed properties.,Land Registry Verification,"Fake Land Ownership Case, 2021","Often overlaps with IPC 467, 468."
